"","species","SVL","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus"
"72","Ameerega trivittata",46,3,20.28,3488.02967547938,-0.336968272620447,-11.6,"LC","ANURA","DENDROBATIDAE","Ameerega"
"73","Amietia angolensis",90,4,49.26,5814.9487491009,-24.8558488148623,-34.21,"LC","ANURA","PYXICEPHALIDAE","Amietia"
"74","Amietia johnstoni",45,3,0.17,0,-15.935625,-16.02,"EN","ANURA","PYXICEPHALIDAE","Amietia"
"75","Amietia tenuoplicata",72,3,0.36,0,-5.03357142857143,-5.2,"NT","ANURA","PYXICEPHALIDAE","Amietia"
"76","Amietia vandijki",55,3,0.730000000000004,216.473062654527,-33.6795007564297,-34.02,"LC","ANURA","PYXICEPHALIDAE","Amietia"
"77","Amietia viridireticulata",65,NA,2.71,399.683128376287,-9.4909375,-10.78,"DD","ANURA","PYXICEPHALIDAE","Amietia"
"78","Amietophrynus blanfordii",43,NA,8.34,1518.39564448922,12.2630930232558,7.77,NA,NA,NA,NA
"79","Amietophrynus brauni",81.3,NA,1.85,248.736011094884,-5.20428571428571,-6.29,NA,NA,NA,NA
"80","Amietophrynus channingi",115.5,NA,7.16,810.409631245134,-1.76417582417582,-3.91,NA,NA,NA,NA
"81","Amietophrynus chudeaui",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Amietophrynus fuliginatus",52.5,NA,7.16,1044.58126645405,-10.2104,-14.65,NA,NA,NA,NA
"83","Amietophrynus garmani",115,NA,41.75,4946.77448802835,-18.1686316695353,-28.9,NA,NA,NA,NA
"84","Amietophrynus gracilipes",37,NA,10.51,2453.08383876052,0.800394160583942,-4.82,NA,NA,NA,NA
"85","Amietophrynus gutturalis",120,NA,33.37,4962.17418759308,-14.7299796334012,-32.49,NA,NA,NA,NA
"86","Amietophrynus kassasii",36.3,NA,7.08,832.582068059031,30.6628165007112,24.52,NA,NA,NA,NA
"87","Amietophrynus latifrons",73,NA,11.76,1407.89036781192,-0.0789627870150435,-5.94,NA,NA,NA,NA
"88","Amietophrynus maculatus",48.3,NA,38.96,6522.48914117132,-6.79499804356332,-27.35,NA,NA,NA,NA
"89","Amietophrynus mauritanicus",141,NA,9.64,2456.932440577,34.8861397058823,27.71,NA,NA,NA,NA
"90","Amietophrynus pantherinus",122,NA,0.909999999999997,214.612118922016,-34.47776,-34.83,NA,NA,NA,NA
"91","Amietophrynus reesi",60,NA,0.379999999999999,111.323871569644,-8.514,-8.7,NA,NA,NA,NA
"92","Amietophrynus regularis",88.3,NA,40.14,7194.39177992431,9.73252183077386,-8.54,NA,NA,NA,NA
"93","Amietophrynus superciliaris",39,NA,9.47,4411.64628345796,2.72521212121212,-0.9,NA,NA,NA,NA
"94","Amietophrynus xeros",70,NA,37.66,7404.50078207866,10.0963582626574,-10.87,NA,NA,NA,NA
"95","Amolops bellulus",56.7,1,1.93,243.739417486147,26.9516923076923,25.99,"DD","ANURA","RANIDAE","Amolops"
"96","Amolops caelumnoctis",78.5,1,0.120000000000001,0,22.885,22.83,"DD","ANURA","RANIDAE","Amolops"
"97","Amolops cremnobatus",33,3,2.77,478.42901249917,18.6282352941176,17.11,"LC","ANURA","RANIDAE","Amolops"
"98","Amolops hainanensis",76.5,3,1.08,153.420490240319,18.93975,18.37,"EN","ANURA","RANIDAE","Amolops"
"99","Amolops larutensis",36,3,5.13,711.874036787829,3.98268292682927,1.66,"LC","ANURA","RANIDAE","Amolops"
"100","Amolops loloensis",72,NA,2.86,243.002590523089,29.0744827586207,27.5,"VU","ANURA","RANIDAE","Amolops"
"101","Amolops mantzorum",63.9,4,6.95,831.587508877103,29.6509090909091,26.47,"LC","ANURA","RANIDAE","Amolops"
"102","Amolops marmoratus",59,1,12.89,2186.81354786899,25.7492827004219,16.27,"LC","ANURA","RANIDAE","Amolops"
"103","Amolops monticola",53,3,4.67,1199.77015230612,27.0491975308642,25.54,"LC","ANURA","RANIDAE","Amolops"
"104","Amolops panhai",42.8,NA,4.8,567.123383786745,12.5624137931034,9.9,"LC","ANURA","RANIDAE","Amolops"
"105","Anaxyrus americanus",69.88,3,26.32,4051.97285943848,45.8477106849587,30.17,"LC","ANURA","BUFONIDAE","Anaxyrus"
"106","Anaxyrus baxteri",54,3,0.119999999999997,0,41.198085106383,41.14,"EW","ANURA","BUFONIDAE","Anaxyrus"
"107","Anaxyrus boreas",87.3,3,33.22,4299.99938520979,49.7484969906141,29.98,"LC","ANURA","BUFONIDAE","Anaxyrus"
"108","Anaxyrus californicus",65.5,NA,7.35,1081.48550673578,30.6554243542435,28.67,"EN","ANURA","BUFONIDAE","Anaxyrus"
"109","Anaxyrus canorus",54,NA,1.85,239.301698152643,37.7790243902439,36.86,"EN","ANURA","BUFONIDAE","Anaxyrus"
"110","Anaxyrus cognatus",78.5,3,28.84,3366.73997188253,38.247528379773,22.27,"LC","ANURA","BUFONIDAE","Anaxyrus"
"111","Anaxyrus debilis",45.3,3,17.52,1913.93144653825,29.9205152925532,21.61,"LC","ANURA","BUFONIDAE","Anaxyrus"
"112","Anaxyrus exsul",51,NA,0.119999999999997,0,37.3506666666667,37.29,"VU","ANURA","BUFONIDAE","Anaxyrus"
"113","Anaxyrus fowleri",73,3,16.87,2680.10684699528,36.4278572285543,28.92,"LC","ANURA","BUFONIDAE","Anaxyrus"
"114","Anaxyrus hemiophrys",65,NA,18.48,2373.47017717386,51.0888747982476,42.48,"LC","ANURA","BUFONIDAE","Anaxyrus"
"115","Anaxyrus houstonensis",61.8,NA,2.35,347.466997986631,30.3285714285714,29.24,"EN","ANURA","BUFONIDAE","Anaxyrus"
"116","Anaxyrus kelloggi",34.5,3,8.99,1283.56901971723,25.9643517915309,21.22,"LC","ANURA","BUFONIDAE","Anaxyrus"
