Species,Presence of sexual dimorphism,Body mass in males,Body mass in females,Adult body mass,Body mass in juveniles,Snout-to-vent length in males,Snout-to-vent length in females,Adult snout-to-vent length,Total length in males,Total lenght in females,Adult total length,Head length < Body length,Head length = Body length,Head length > Body length,Foot length in males,Foot length in females,Adult foot length,Hind limb length in males,Hind limb length in females,Adult hind limb length,Tibia length in males,Tibia length in females,Adult tibia length,Fore limb length < Hind limb length,Fore limb length = Hind limb length,Fore limb length > Hind limb length,Presence of discs,Presence of webbing,Webbing on toes only,Webbing on fingers and toes,Reduction on fingers only,Reduction on fingers and toes,Presence of metatarsal tubercle,Dorsoseparation,Webbing colour contrast,Diurnal,Nocturnal,Both,Survival rate in adults,Survival rate in juveniles,Survivale rate in tadpoles,Sexual maturity in males,Sexual maturity in females,Adult sexual maturity,Polyandry,Polygyny,Viviparous: number of offspring,Ovoviviparous: number of eggs,Ovoviviparous: number of offspring,Single,Cluster,Strings,Metamorphosis size,Number of eggs or offspring,Egg diameter,Egg mass,Pole visible on egg,On ground,On adult,Attach in lotic habitat,Attach in lentic habitat,Free in lentic habitat,On surface in lentic habitat,Attach on swamps in lentic habitat,Free on swamps in lentic habitat,On surface on swamps in lentic habitat,On surface on non-permanent lentic ponds,Explosive or prolonged,Presence of parental care,Transport of eggs,Transport of tadpoles,Guarding eggs,Defend eggs,Water eggs,,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Metabolism rate,Secretion,Toxicity,Death simulation,Unken reflex,Other,Visual,Acoustic,Chemical,Seismic,Males territorial,Females territorial,Both territorial,,,,,Walker,Jumper,Runner,Climber,Swimmer,Crawler,Dispersal stage juvenile,Dispersal stage adult,Dispersal stade during breeding season,Mean dispersal distance,Maximum dispersal distance,Minimal dispersal distance,Migration stage adult,Migration stage during breeding season,Mean migration distance,Maximum migration distance,Minimal migration distance,boreal,subarctic,subantarctic,subtropical/tropical dry,temperate,subtropical/tropical moist lowland,subtropical/tropical mangrove vegetation aboral,subtropical/tropical swamp,subtropical/tropical moist montane,dry,moist,subarctic,subantarctic,boreal,temperate,subtropical/tropical dry,subtropical/tropical moist,tropical high altitude,mediterranean-type shrubby vegetation,tundra,subarctic,subantarctic,temperate,subtropical/tropical dry,subtropical/tropical seasonally wet/ flooded,subtropical/ tropical high altitude,permanent rivers/streams/creeks (including waterfalls),intermittent/irregular rivers/streams/creeks,shrub dominated wetlands,bogs/marshes/swamps/fens/peatlands,permanent freshwater lakes (>8ha),seasonal/intermittent freshwater lakes (>8ha),permanent freshwater marshes/pools (>8ha),seasonal/intermittent freshwater marshes/pools (<8ha),freshwater springs and oases,tundra wetlands,geothermal wetlands,permanent inland deltas,"permanent saline, brackish or alkaline lakes","seasonal/intermittent saline, brackish or alkaline lakes","permanent saline, brackish or alkaline marshes/pools",karst and other subterranean hydrological systems,"inland cliffs, moutain peaks",caves,other subterranean habitats,hot,temperate,cold,arable land,pastureland,plantations,rural gardens,urban areas,subtropical/tropical heavily degraded former forest,dunes,Altitude min,Altitude max,Alpine,Anatolian,Arctic,Atlantic,Black Sea,Boreal,Continental,Mediterranean,Macaronesian,Pannonian,Steppic,absolute,absolute,ponctual,< 10 %,10-20 %,20-30 %,30-40 %,40-50 %,50-60 %,60-70 %,70-80 %,80-90 %,> 90 %,absolute,ponctual,< 15 %,15-30 %,30-45 %,45-60 %,60-75 %,75-90 %,> 90 %,absolute,ponctual,< 20 %,20-40 %,40-60 %,60-80 %,> 80 %,absolute,ponctual,< 25 %,25-50 %,50-75 %,> 75 %,absolute,ponctual,< 50 %,> 50 %,Ubiquity,Subendemic,Endemic,Data Deficient,Least Concern,Near Threatened,Vulnerable,Endangered,Critically Endangered,Data Deficient,Decrease,Stable,Increase,Habitat loss,Invasive alien,Harvesting,Accidental,Persecution,Pollution,Climate change,Natural disasters,Change dynamics,Intrinsic factors,Human disturbance,Unknow
Lissotriton vulgaris,1,2.26,3.1,2.68,DD,39.98,41.38,40.68,72,76,84.23,0,1,0,DD,DD,DD,DD,DD,14.5,DD,DD,DD,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0.5,0.8,DD,2.88,3.17,2.88,0,1,0,0,0,1,0,0,39.67,300,1.5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1.03,1,0,0,0,1,1,0,1,1,0,0,0,DD,1,1,0,1,0,0,0,1,0,1,1,0,DD,DD,DD,0,1,34.5,866,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2150,1,1,0,1,1,1,1,1,0,1,1,10174105.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0
Lithobates catesbeianus,1,467.8,403,307.23,26.31,134.74,135.53,135.14,105.3,113.2,135.14,1,0,0,66.33,65.56,65.95,186.83,190.56,188.98,55.17,58.44,56.81,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,DD,DD,0.14,1.5,2.5,1.5,0,1,0,0,0,0,1,0,95,25000,2.5,DD,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,DD,1,1,1,0,1,1,1,1,1,1,0,0,0.03,0,0,0,0,1,1,1,0,0,1,0,0,DD,DD,DD,1,0,1,0,0,0,0,1,1,0,158.41,1600,1.5,1,1,1083.93,4000,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,1,0,0,1,0,0,1,1,0,0,0,DD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lithobates sylvaticus,DD,11.2,17.6,14.4,DD,53.04,62.32,57.68,46.05,52.55,57.68,1,0,0,22.9,27.38,30.88,72.1,86.19,95.59,22.6,27.88,29.49,1,0,0,0,1,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,2,1,DD,DD,DD,DD,DD,0,1,0,12.7,3000,2.06,DD,DD,0,0,0,1,1,0,1,1,0,0,DD,DD,0,0,0,0,0,DD,1,1,0,1,0,0,0,1,0,0,0,0,0.6,0,0,0,0,1,1,1,0,0,DD,DD,DD,64.55,DD,DD,0,DD,DD,DD,DD,DD,DD,1,1,0,1208,2530,DD,0,1,216.77,800,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,43,1100,0,0,0,0,0,0,0,0,0,0,0,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Lyciasalamandra helverseni,DD,DD,DD,DD,DD,DD,DD,NA,DD,DD,140,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,DD,DD,0,1,0,DD,DD,DD,DD,DD,3,DD,DD,2,0,0,0,0,0,DD,2,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,0,0,DD,DD,DD,DD,DD,DD,1,0,1,1,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,1,0,0,0,396.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
Lyciasalamandra luschani,1,DD,DD,2,2,62.83,61.34,62.08,126,129,118.65,0,0,1,DD,DD,DD,DD,DD,22.19,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.79,DD,DD,DD,DD,3,DD,DD,2,0,0,0,0,0,DD,2,70,2,0,0,0,0,0,0,0,0,0,0,0,1,DD,0,0,0,0,0,DD,0,1,0,0,0,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,0,1,1,DD,DD,DD,DD,1,DD,DD,1,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0,730.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
Mesotriton alpestris,1,2.36,3.57,2.96,DD,45.59,53.84,49.72,92,120,95.06,0,1,0,DD,DD,DD,DD,DD,17,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.7,0.72,DD,3,4.1,3,0,1,0,0,0,1,0,0,47.86,260,1.5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,DD,1,0,0,0,1,1,0,1,1,DD,DD,DD,DD,1,1,1,0,0,0,0,1,1,1,1,0,DD,1500,DD,1,0,200,1000,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,1,0,0,1,0,0,1,1,0,1,0,1642680.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0
Pelobates cultripes,1,33.11,40.04,21.6,DD,65.9,70.18,68.04,70,80,68.04,1,0,0,DD,DD,DD,89.3,88,88.65,24.6,24.3,24.5,1,0,0,0,1,1,0,1,0,1 (5mm),1,0,0,1,0,DD,DD,DD,DD,DD,3,DD,DD,0,0,0,0,0,1,30.45,2500,2,DD,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,DD,0,0,1,1,1,1,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1800,0,0,0,1,0,0,0,1,0,0,0,518773.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0
Pelobates fuscus,1,13.2,29.4,21.3,DD,48.91,57.13,53.02,45.87,53.89,53.02,1,0,0,DD,DD,DD,74,82,78,20,23,21.5,1,0,0,0,1,1,0,1,0,1 (6mm),1,0,0,1,0,0.34,0.42,DD,DD,DD,1.5,1,1,0,0,0,0,0,1,40,2500,2,DD,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,0,0,0,0,0,DD,0,1,0,1,1,1,0,1,0,0,1,0,DD,DD,DD,0,1,17.9,500,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,675,0,0,0,1,1,1,1,0,0,1,1,5775803.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
Pelobates syriacus,1,DD,DD,DD,DD,DD,DD,90,DD,DD,90,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,DD,DD,DD,2,3,2,DD,DD,0,0,0,0,0,1,25,4000,1.7,DD,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,DD,0,0,0,0,1,1,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,1,0,0,1,0,1,1,0,0,0,533761.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Pelodytes ibericus,DD,3.56,4.87,3.98,DD,35.17,40.72,37.95,DD,DD,37.95,1,0,0,DD,DD,DD,DD,DD,55.85,DD,DD,14.84,1,0,0,0,1,1,0,1,0,1,DD,DD,0,0,1,DD,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,0,1,0,20,350,1.45,0.98,DD,0,0,1,1,1,0,1,1,0,0,1,DD,0,0,0,0,0,DD,0,0,0,0,1,1,1,1,1,0,0,0,DD,1,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,1,0,0,0,105069.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Pelodytes punctatus,1,DD,DD,3.03,0.4,36.67,43.31,45.88,36.32,43.31,45.88,1,0,0,DD,DD,41.43,DD,DD,63.67,16,18,17.67,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,DD,DD,0.61,DD,DD,1,DD,DD,0,0,0,0,0,1,20,1500,2,DD,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,DD,0,1,0,0,1,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,0,1,0,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1500,0,0,0,1,0,0,1,1,0,0,0,850488.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Pelophylax bedriagae,1,DD,DD,DD,DD,58.8,61.7,60.25,DD,DD,60.25,1,0,0,28.6,29.9,29.25,DD,DD,DD,26.4,27.8,27.1,1,0,0,0,1,1,0,1,0,DD,DD,DD,1,0,0,DD,DD,DD,2,3,2,DD,DD,DD,DD,DD,0,1,0,DD,10000,DD,DD,DD,0,0,1,1,1,0,1,1,0,0,0,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,1,0,0,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,0,0,0,0,0,0,0,1,0,0,0,286870.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0
Pelophylax bergeri,1,DD,DD,DD,DD,50,57.5,53.75,DD,DD,53.75,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,25,3000,7,DD,DD,0,0,0,1,1,0,1,1,0,0,DD,0,0,0,0,0,0,DD,0,1,0,0,0,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,1,0,0,0,0,0,1,1,0,0,0,189930.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
Pelophylax cerigensis,DD,DD,DD,DD,DD,DD,DD,62.25,DD,DD,62.25,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,29.46,1,0,0,0,1,1,0,1,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,DD,15000,DD,DD,DD,0,0,0,1,1,0,1,1,0,0,DD,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,0,0,0,0,0,0,0,1,0,0,0,1004.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0
Pelophylax cretensis,DD,DD,DD,DD,DD,DD,DD,72.3,DD,DD,72.3,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,32.79,1,0,0,0,1,1,0,1,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,DD,15000,DD,DD,DD,0,0,0,1,1,0,1,1,0,0,DD,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,0,0,0,0,0,0,0,1,0,0,0,2512.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Pelophylax epeiroticus,1,38.57,59.02,48.8,DD,72.42,83.98,78.2,74.4,83,78.2,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,0,1,0,DD,2575,1.46,DD,DD,0,0,0,1,1,0,1,1,0,0,DD,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,1,1,0,0,1,0,0,DD,DD,DD,DD,1,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,1,0,0,0,11224.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0
Pelophylax esculentus,1,DD,DD,36.9,1.3,79.71,97.88,88.79,DD,DD,88.79,1,0,0,40.25,50.25,5.38,125.5,159.5,142.75,39,50,44.5,1,0,0,0,1,1,0,1,0,1 (4.44 mm),1,0,0,1,0,0.62,DD,DD,DD,DD,3,0,1,0,0,0,0,1,0,27.33,10000,2.5,DD,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0.09,0,0,0,0,1,1,1,0,0,1,0,0,DD,1,1,0,0,0,0,0,1,0,1,1,0,DD,78,330,0,1,DD,15000,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,1,0,0,1,1,1,1,1,0,1,1,3612739.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0
Pelophylax grafi,1,DD,DD,DD,DD,DD,DD,92.5,DD,DD,92.5,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,DD,10000,DD,DD,DD,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,DD,0,1,0,0,0,0,0,1,0,0,0,0,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,0,0,0,1,0,0,0,1,0,0,0,99972.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
Pelophylax hispanicus,1,DD,DD,DD,DD,DD,DD,100,DD,DD,100,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,DD,10000,DD,DD,DD,0,0,1,1,1,0,1,1,0,0,0,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,0,0,1,1,0,0,0,179128.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0
Pelophylax kurtmuelleri,1,DD,DD,DD,DD,DD,DD,100,DD,DD,100,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,DD,DD,DD,DD,DD,DD,DD,DD,2,3,2,DD,DD,DD,DD,DD,0,1,0,DD,10000,DD,DD,DD,0,0,1,1,1,0,1,1,0,0,0,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0,142798.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0
