species,collection_no,source_database,collection.authorizer,taxon_no,occurrence.reference_no,collection.reference_no,ma_max,ma_min,ma_mid,lithadj,minor_lithology,minor_lithology2,lithadj2,lithology2,lithology_mel,lithadj_mel,lithology2_mel,ref_lithology_mel,occurrence_no,slice,stage,single_occurrence,strat_range,gp_lat,gp_lng,latdec,lngdec,ma_range,slice_range,lithology1,energetic_system,specimen_no,mni,mni_assumed,abundance_ref,specimens,genus,family
Scapherpeton tectum,45099,PaleoDB,M. Carrano,NA,11749,11749,66.9,66.7,66.8,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,458120,67,Maastrichtian,no,longer,56.11224712,-62.46472637,45.9488,-103.9617,53,10,sandstone,medium 1,8,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45118,ETE,M. Carrano,NA,11749,11749,66.9,66.3,66.6,NA,silty,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,820670,67,Maastrichtian,no,longer,56.33308485,-61.99285987,46.264,-103.7669,53,10,mudstone,low,9,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14639,Fossilworks,J. Alroy,NA,13103,960,70.6,66.043,68.3215,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,488571,67,Maastrichtian,no,longer,58.60359539,-65.17261063,47.5167,-107.5,53,10,sandstone,medium 1,9,1,n,123,7 vertebrae. 1 dentary. a maxillae,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34313,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,sandy,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362630,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,10,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45260,Fossilworks,J. Alroy,NA,5929,5929,79.2,79,79.1,"""cross stratification"",lag,fine,pebbly,intraclastic",silty,NA,NA,NA,sandstone,current signs,sandstone,NA,459495,66,Campanian,no,longer,60.67105938,-65.52264849,50.737049,-111.480053,53,10,sandstone,medium 2,11,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34319,Fossilworks,J. Alroy,NA,9017,9017,84.9,70.6,77.75,shelly/skeletal,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362733,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,12,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45564,ETE,M. Carrano,NA,11964,11964,81.3,81.1,81.2,"wave ripples,planar lamination,fine,pebbly",carbonaceous,NA,NA,mudstone,sandstone,current signs,sandstone,NA,461822,66,Campanian,no,longer,59.04598426,-66.1539435,49.127881,-110.87453,53,10,sandstone,medium 2,12,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45102,ETE,M. Carrano,NA,11749,11749,70.6,66.043,68.3215,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,458017,67,Maastrichtian,no,longer,56.07336081,-62.2100279,45.9777,-103.7539,53,10,sandstone,medium 1,13,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45111,ETE,M. Carrano,NA,11749,11749,66.9,66.3,66.6,NA,silty,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,458031,67,Maastrichtian,no,longer,56.33308485,-61.99285987,46.264,-103.7669,53,10,mudstone,low,14,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14535,Fossilworks,J. Alroy,NA,13103,960,70.6,66.043,68.3215,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,487905,67,Maastrichtian,no,longer,58.51089416,-64.68217741,47.55,-107.1,53,10,sandstone,medium 1,14,6,n,123,6 atlas. 8 vertebrae,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34303,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,sandy,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362140,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,15,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45144,ETE,M. Carrano,NA,11749,11749,66.9,66.7,66.8,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,458238,67,Maastrichtian,no,longer,56.43641776,-62.08160622,46.334,-103.8979,53,10,sandstone,medium 1,20,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45671,ETE,M. Carrano,NA,11964,11964,80.1,76.2,78.15,"lenticular,current ripples,fine",NA,NA,ferruginous,siltstone,sandstone,current signs,sandstone,NA,462920,66,Campanian,no,longer,59.56569806,-65.42637804,49.75457,-110.684399,53,10,sandstone,medium 2,20,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,47784,PaleoDB,R. Whatley,NA,5929,5929,79.2,79,79.1,"current ripples,intraclastic",NA,NA,NA,NA,sandstone,current signs,sandstone,NA,479399,66,Campanian,no,longer,60.7590542,-65.64426024,50.791401,-111.624328,53,10,sandstone,medium 2,21,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45109,ETE,M. Carrano,NA,11749,11749,66.5,66.3,66.4,NA,carbonaceous,NA,NA,NA,shale,NA,fine-grained siliciclastic,NA,458057,67,Maastrichtian,no,longer,56.33308485,-61.99285987,46.264,-103.7669,53,10,shale,low,27,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34310,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,sandy,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362547,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,27,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,47807,PaleoDB,R. Whatley,NA,5929,5929,79.7,79,79.35,"planar lamination,fine,medium",NA,carbonaceous,planar lamination,siltstone,sandstone,NA,sandstone,NA,479580,66,Campanian,no,longer,60.7076701,-65.5369509,50.767207,-111.514677,53,10,sandstone,medium 1,29,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45561,ETE,M. Carrano,NA,11964,42675,81.3,76.2,78.75,NA,silty,NA,planar lamination,"""shale""",sandstone,NA,sandstone,NA,461759,66,Campanian,no,longer,59.04522669,-66.15173731,49.127654,-110.872474,53,10,sandstone,medium 1,30,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14610,Fossilworks,J. Alroy,NA,11749,1984,66.9,66.7,66.8,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,458160,67,Maastrichtian,no,longer,56.04082374,-61.60752462,46.1,-103.3,53,10,sandstone,medium 1,31,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45567,ETE,M. Carrano,NA,11964,42675,78.8,78.6,78.7,"deformed bedding,lag","argillaceous,silty","argillaceous,silty","deformed bedding,lag",mudstone,sandstone,NA,sandstone,NA,461930,66,Campanian,no,longer,59.04002519,-66.25186724,49.101848,-110.941038,53,10,sandstone,medium 1,36,1,y,12,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,22696,ETE,A. Behrensmeyer,NA,5929,5929,79.7,79,79.35,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,480326,66,Campanian,no,longer,60.6694971,-65.30364291,50.7813031,-111.32555,53,10,sandstone,medium 1,37,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45899,ETE,M. Carrano,NA,11964,42675,78.8,78.6,78.7,"lenticular,brown","argillaceous,sandy","argillaceous,carbonaceous","lenticular,gray,green",siltstone,siltstone,NA,siltstone,NA,464810,66,Campanian,no,longer,59.53266754,-65.42066303,49.72575,-110.659029,53,10,siltstone,medium 1,42,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45670,ETE,M. Carrano,NA,11964,11964,81.3,76.2,78.75,tabular,"argillaceous,silty,carbonaceous",NA,"deformed bedding,ferruginous",siltstone,sandstone,NA,sandstone,NA,462888,66,Campanian,no,longer,59.66673124,-65.5533794,49.81963,-110.840068,53,10,sandstone,medium 1,44,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34321,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,363220,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,45,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45892,ETE,M. Carrano,NA,11964,11964,81.3,76.2,78.75,brown,"argillaceous,silty",NA,NA,NA,sandstone,NA,sandstone,NA,464620,66,Campanian,no,longer,59.57766751,-65.43850689,49.76289,-110.700765,53,10,sandstone,medium 1,48,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34322,Fossilworks,J. Alroy,NA,9017,9017,79.7,79.5,79.6,shelly/skeletal,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,363648,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,52,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14549,Fossilworks,J. Alroy,NA,13103,960,67.7,67.5,67.6,NA,silty,NA,NA,NA,sandstone,NA,sandstone,NA,488083,67,Maastrichtian,no,longer,58.26608988,-63.90828432,47.5167,-106.4,53,10,sandstone,medium 1,53,2,n,123,2 atlantes; 33 vertebra; 14 dentary fragments; 3 dentaries; 1 premaxilla,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,47812,PaleoDB,R. Whatley,NA,5929,5929,79.7,79,79.35,NA,NA,NA,NA,NA,not reported,NA,NA,NA,479670,66,Campanian,no,longer,60.69354702,-65.56519928,50.748546,-111.524962,53,10,not reported,medium 2,60,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45822,ETE,M. Carrano,NA,11964,11964,80.1,76.2,78.15,tabular,"silty,carbonaceous",NA,"current ripples,ferruginous",sandstone,sandstone,NA,sandstone,NA,463938,66,Campanian,no,longer,59.57766751,-65.43850689,49.76289,-110.700765,53,10,sandstone,medium 1,64,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45898,ETE,M. Carrano,NA,11964,11964,80.9,76.2,78.55,"lenticular,""cross stratification"",deformed bedding,intraclastic",argillaceous,NA,NA,NA,sandstone,current signs,sandstone,NA,464776,66,Campanian,no,longer,59.06860969,-65.93878873,49.19385,-110.734388,53,10,sandstone,medium 2,68,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34315,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362675,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,69,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14585,Fossilworks,J. Alroy,NA,803,1239,70.6,66.043,68.3215,NA,carbonaceous,NA,NA,NA,sandstone,NA,sandstone,NA,464129,67,Maastrichtian,no,longer,53.76648216,-65.35413425,43.116331,-104.636999,53,10,sandstone,medium 1,73,4,n,12;123,only 25 specimens identifiable; all sorts of stuff (mandible;limb frags; skullfrags;dentaries; vertebra;4 altas;maxilla),Scapherpeton,Scapherpetontidae
