species,collection_no,source_database,collection.authorizer,taxon_no,occurrence.reference_no,collection.reference_no,ma_max,ma_min,ma_mid,lithadj,minor_lithology,minor_lithology2,lithadj2,lithology2,lithology_mel,lithadj_mel,lithology2_mel,ref_lithology_mel,occurrence_no,slice,stage,single_occurrence,strat_range,gp_lat,gp_lng,latdec,lngdec,ma_range,slice_range,lithology1,energetic_system,specimen_no,mni,mni_assumed,abundance_ref,specimens,genus,family
Cyclotosaurus spitzbergensis,120228,PaleoDB,M. Clapham,NA,46568,38416,251.3,247.2,249.25,black,NA,NA,NA,NA,NA,NA,NA,NA,1131961,39,Olenekian,yes,temporal single,55.80683278,22.146881,78.283333,17.633333,0,1,shale,low,1,1,y,1,NA,Cyclotosaurus,Capitosauroidea
Cymatorhiza kittsi,27574,Fossilworks,J. Alroy,NA,7597,7597,272.5,265,268.75,fine,NA,NA,"fine,green",sandstone,conglomerate/sandstone,fine grained conglomerate,NA,1,289336,34,Roadian-Wordian,yes,temporal single,7.848929095,-24.849533,35.911111,-98.154444,0,1,conglomerate/sandstone,medium 2,1,1,n,93,part of lower jaw with teeth,Cymatorhiza,Gymnarthridae
Czatkobatrachus polonicus,38528,PaleoDB,M. Carrano,NA,10335,10334,251.3,247.2,249.25,"fine,yellow",sandy,NA,NA,"""limestone""",NA,NA,NA,NA,401594,39,Olenekian,yes,temporal single,29.56265668,36.50260441,50.133333,19.633333,0,1,limestone,low,76,9,n,94,based on 11 humeri; 17 vertebrae; 9 scapulacoracoids; 2 ulnae; 19 ilia; 5 femora,Czatkobatrachus,NA
Dasyceps bucklandi,80783,PaleoDB,J. Mueller,157514,57259,30063,298.9,295,296.95,NA,NA,NA,NA,NA,sandstone and conglomerates,"The Kenilworth Sandstone Formation is represented mainly by coarse grained siliciclastics (sandstones, conglomerates, breccias) deposited by freshwater action",NA,1,1307512,30,Asselian,yes,temporal single,6.65260018,13.50677419,52.375,-1.575,0,1,sandstone and conglomerates,medium 2,1,1,y,1,NA,Dasyceps,Zatracheidae
Deltacephalus whitei,144038,PaleoDB,R. Butler,NA,46567,46567,252.3,247.2,249.75,nodular,NA,NA,NA,NA,mudstone/sandstone,nodular,NA,1,1131868,39,Olenekian,yes,temporal single,-34.15967136,37.61964702,-13.5,48.866667,0,1,mudstone/sandstone,medium 1,1,1,y,1,NA,Deltacephalus,Lydekkerinidae
Deltasaurus kimberleyensis,136591,PaleoDB,R. Butler,NA,43692,43692,252.3,251.3,251.8,pebbly,muddy,NA,NA,NA,conglomerate,NA,NA,1,1087674,38,Induan,no,longer,-82.50627557,62.10600713,-42.8,147.525,2,2,conglomerate,high,1,1,n,199,1 complete right parietal bone,Deltasaurus,Rhytidosteidae
Deltasaurus kimberleyensis,136595,PaleoDB,R. Butler,NA,43692,43692,252.3,251.3,251.8,"pebbly,brown",sandy,NA,NA,NA,conglomerate,NA,NA,1,1087682,38,Induan,no,longer,-81.87677308,68.44807893,-41.833333,146.916667,2,2,conglomerate,high,1,1,n,199,mold of incomplete skull roof impression,Deltasaurus,Rhytidosteidae
Deltasaurus kimberleyensis,136548,PaleoDB,R. Butler,NA,43676,43676,252.3,247.2,249.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087521,39,Olenekian,no,longer,-51.3198777,92.08518476,-18.333333,124.75,2,2,shale,low,1,1,y,1,NA,Deltasaurus,Rhytidosteidae
Deltasaurus kimberleyensis,136546,PaleoDB,R. Butler,NA,43676,43676,252.3,247.2,249.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087519,39,Olenekian,no,longer,-50.72075733,92.1519862,-17.858333,124.363333,2,2,shale,low,6,1,y,1,NA,Deltasaurus,Rhytidosteidae
Deltasaurus pustulatus,136550,PaleoDB,R. Butler,NA,43676,43676,252.3,247.2,249.75,"gray,green",NA,NA,NA,NA,NA,NA,NA,NA,1087524,39,Olenekian,yes,temporal single,-52.1988992,67.04917923,-30.666667,114.5,0,1,shale,low,1,1,y,1,NA,Deltasaurus,Rhytidosteidae
Dendrerpeton acadianum,28069,Fossilworks,J. Alroy,157518,32300,7856,318.1,314.6,316.35,gray,NA,NA,NA,coal,NA,NA,NA,NA,294225,27,Bashkirian,no,temporal single,-16.28427248,-12.32952091,45.698611,-64.451389,0,1,sandstone,medium 1,1,1,y,1,NA,Dendrerpeton,NA
Dendrerpeton acadianum,28069,Fossilworks,J. Alroy,139093,32315,7856,318.1,314.6,316.35,gray,NA,NA,NA,coal,NA,NA,NA,NA,297337,27,Bashkirian,no,temporal single,-16.28427248,-12.32952091,45.698611,-64.451389,0,1,sandstone,medium 1,1,1,y,1,NA,Dendrerpeton,NA
Derwentia warreni,136589,PaleoDB,R. Butler,NA,43692,43692,252.3,251.3,251.8,pebbly,muddy,NA,NA,NA,conglomerate,NA,NA,1,1087663,38,Induan,no,temporal single,-82.32870494,62.02637894,-42.786111,147.283333,0,1,conglomerate,high,1,1,n,199,1 nearly complete skull,Derwentia,Derwentiidae
Derwentia warreni,136591,PaleoDB,R. Butler,NA,43692,43692,252.3,251.3,251.8,pebbly,muddy,NA,NA,NA,conglomerate,NA,NA,1,1087675,38,Induan,no,temporal single,-82.50627557,62.10600713,-42.8,147.525,0,1,conglomerate,high,1,1,n,199,fragment from anterior part of palatal surface of a skull including portions of botht vomer bones,Derwentia,Derwentiidae
Dicamptodon antiquus,133214,PaleoDB,P. Mannion,NA,42869,42869,58.7,55.8,57.25,NA,silty,NA,NA,NA,shale,NA,fine-grained siliciclastic,NA,1072581,69,Selandian-Thanetian,yes,temporal single,64.88680164,-80.68324869,54.333333,-118.75,0,1,shale,low,1,1,n,12,1 incomplete skeleton,Dicamptodon,Dicamptodontidae
Diceratosaurus laevis,85292,PaleoDB,J. Mueller,NA,28743,28831,311.45,306.95,309.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,963874,28,Moscovian,yes,temporal single,-9.920517005,-19.89157669,40.567778,-80.673333,0,1,coal,low,1,1,y,1,NA,Diceratosaurus,Nectridea
Diceratosaurus robustus,85292,PaleoDB,J. Mueller,NA,28743,28831,311.45,306.95,309.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,963875,28,Moscovian,yes,temporal single,-9.920517005,-19.89157669,40.567778,-80.673333,0,1,coal,low,1,1,y,1,NA,Diceratosaurus,Nectridea
Dictyocephalus elegans,99429,PaleoDB,R. Butler,NA,15586,34184,221.5,205.6,213.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,934040,43,Norian,yes,temporal single,8.865398224,-12.44590222,35.55,-79.25,0,1,not reported,NA,1,1,y,1,NA,Dictyocephalus,Metoposauridae
Diplocaulus brevirostris,28267,Fossilworks,J. Alroy,NA,29284,9228,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,799789,33,Kungurian,no,temporal single,0.427583791,-29.702617,33.7,-99.266667,0,1,claystone,low,1,1,y,1,NA,Diplocaulus,Keraterpetontidae
Diplocaulus brevirostris,28256,Fossilworks,J. Alroy,NA,29284,17702,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,799787,33,Kungurian,no,temporal single,0.462893986,-29.63242439,33.766667,-99.216667,0,1,claystone,low,4,4,n,1,NA,Diplocaulus,Keraterpetontidae
Diplocaulus copei,28272,Fossilworks,J. Alroy,NA,7693,7693,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296113,33,Kungurian,yes,temporal single,0.334317632,-29.75294555,33.594167,-99.26,0,1,claystone,low,8,1,y,1,reference missing (Cope1928; 214),Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28256,Fossilworks,J. Alroy,142461,28342,17702,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296029,33,Kungurian,no,longer,0.462893986,-29.63242439,33.766667,-99.216667,9,2,claystone,low,1,1,y,1,NA,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28261,Fossilworks,J. Alroy,NA,29284,7693,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,799792,33,Kungurian,no,longer,0.42196447,-29.58758069,33.755,-99.145,9,2,claystone,low,1,1,y,1,NA,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28275,Fossilworks,J. Alroy,NA,29284,7693,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,799791,33,Kungurian,no,longer,0.630088986,-29.51015063,33.973056,-99.195556,9,2,claystone,low,2,1,y,1,not specified,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28270,Fossilworks,J. Alroy,NA,29284,7693,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,799793,33,Kungurian,no,longer,0.46012133,-29.72770669,33.714722,-99.312778,9,2,claystone,low,3,1,y,1,not specified,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28267,Fossilworks,J. Alroy,142473,29284,9228,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,799788,33,Kungurian,no,longer,0.427583791,-29.702617,33.7,-99.266667,9,2,claystone,low,3,3,n,1,combined from 3 entries with each 1 individual,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28267,Fossilworks,J. Alroy,NA,9228,9228,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296088,33,Kungurian,no,longer,0.427583791,-29.702617,33.7,-99.266667,9,2,claystone,low,7,1,y,216,skulls and partial skulls,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28256,Fossilworks,J. Alroy,NA,17702,17702,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296030,33,Kungurian,no,longer,0.462893986,-29.63242439,33.766667,-99.216667,9,2,claystone,low,23,2,n,156,abundant;  2 skulls minimum,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,28267,Fossilworks,J. Alroy,142455,7693,9228,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296089,33,Kungurian,no,longer,0.427583791,-29.702617,33.7,-99.266667,9,2,claystone,low,NA,NA,,NA,NA,Diplocaulus,Keraterpetontidae
Diplocaulus magnicornis,79402,PaleoDB,J. Mueller,NA,28557,28557,290.1,279.5,284.8,gray,NA,sandy,concretionary,ironstone,NA,NA,NA,NA,787460,32,Artinskian,no,longer,0.310326878,-27.84025055,36.161667,-97.340556,9,2,claystone,low,NA,NA,,1,NA,Diplocaulus,Keraterpetontidae
Diplocaulus minimus,89607,PaleoDB,J. Mueller,NA,30045,28386,259,254,256.5,red,NA,NA,NA,conglomerate,NA,NA,NA,NA,814096,36,Wuchiapingian,yes,temporal single,13.33706147,6.035769763,30.825833,-9.089167,0,1,sandstone,medium 1,3,3,n,1,NA,Diplocaulus,Keraterpetontidae
Diplocaulus recurvatus,12976,Fossilworks,J. Alroy,NA,26927,28928,279.5,272.5,276,"pebbly,green,red",NA,NA,lenticular,siltstone,conglomerate,NA,NA,1,748679,33,Kungurian,yes,temporal single,0.57510469,-29.93746809,33.703333,-99.6,0,1,conglomerate,high,9,1,y,164,publication missing,Diplocaulus,Keraterpetontidae
Dissorophus multicinctus,28256,Fossilworks,J. Alroy,NA,54069,17702,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296025,33,Kungurian,yes,temporal single,0.462893986,-29.63242439,33.766667,-99.216667,0,1,claystone,low,3,1,y,1,NA,Dissorophus,Dissorophidae
Doleserpeton annectens,67862,Fossilworks,J. Alroy,NA,28686,19393,290.1,268,279.05,"fine,gray",NA,NA,coarse,conglomerate,NA,NA,NA,NA,629467,33,Kungurian,yes,temporal single,0.975413717,-28.53860343,34.770556,-98.403889,0,1,claystone,low,NA,NA,,NA,NA,Doleserpeton,Amphibamidae
Doragnathus woodi,22726,ETE,A. Behrensmeyer,NA,57195,5931,326.4,318.1,322.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306606,27,Bashkirian,yes,temporal single,-5.944001845,1.88743387,56.1166,-3.35,0,1,siltstone,medium 1,NA,NA,,NA,NA,Doragnathus,Trimerorhachidae
Dutuitosaurus ouazzoui,94785,ETE,R. Butler,NA,32305,32305,235,221.5,228.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,853391,42,Carnian,yes,temporal single,16.82200736,2.993088947,31.066667,-8.933333,0,1,not reported,NA,NA,NA,,NA,NA,Dutuitosaurus,Metoposauridae
Dvinosaurus egregius,86346,PaleoDB,J. Mueller,NA,29103,29103,259,252.3,255.65,NA,NA,NA,NA,claystone,NA,NA,NA,NA,795306,36,Wuchiapingian,yes,temporal single,35.55893865,47.89219639,56.253056,42.092778,0,1,sandstone,medium 1,NA,NA,,NA,NA,Dvinosaurus,Dvinosauria
Dvinosaurus primus,80712,PaleoDB,J. Mueller,NA,47937,28951,265,254,259.5,"gray,red",NA,NA,NA,NA,NA,NA,NA,NA,1163741,36,Wuchiapingian,no,longer,36.32397931,52.73712818,55.017222,48.828611,16,4,sandstone,medium 1,NA,NA,,NA,NA,Dvinosaurus,Dvinosauria
Dvinosaurus primus,37202,PaleoDB,M. Carrano,NA,9972,9972,298.9,252.3,275.6,NA,NA,NA,concretionary,sandstone,NA,NA,NA,NA,388988,33,Kungurian,no,longer,27.16053185,35.99124653,61.2611,46.6556,16,4,sandstone,medium 1,NA,NA,,NA,NA,Dvinosaurus,Dvinosauria
Dvinosaurus secundus,37202,PaleoDB,M. Carrano,56906,9972,9972,298.9,252.3,275.6,NA,NA,NA,concretionary,sandstone,NA,NA,NA,NA,388990,33,Kungurian,no,temporal single,27.16053185,35.99124653,61.2611,46.6556,0,1,sandstone,medium 1,NA,NA,,NA,NA,Dvinosaurus,Dvinosauria
Dvinosaurus secundus,37202,PaleoDB,M. Carrano,NA,9972,9972,298.9,252.3,275.6,NA,NA,NA,concretionary,sandstone,NA,NA,NA,NA,388989,33,Kungurian,no,temporal single,27.16053185,35.99124653,61.2611,46.6556,0,1,sandstone,medium 1,NA,NA,,NA,NA,Dvinosaurus,Dvinosauria
Edingerella madagascariensis,144100,PaleoDB,R. Butler,NA,46595,46594,252.3,247.2,249.75,nodular,NA,NA,NA,NA,not reported,NA,NA,1,1132254,39,Olenekian,no,temporal single,-34.14417402,37.59701532,-13.5,48.841667,0,1,not reported,NA,1,1,y,1,NA,Edingerella,NA
Edingerella madagascariensis,144080,PaleoDB,R. Butler,37106,45192,46578,252.3,247.2,249.75,nodular,NA,NA,NA,NA,not reported,siliceous-clayed and rich in ferric oxide,NA,190,1132145,39,Olenekian,no,temporal single,-34.12642329,37.72908289,-13.416667,48.916667,0,1,not reported,NA,1,1,y,1,NA,Edingerella,NA
Edingerella madagascariensis,144081,PaleoDB,R. Butler,37106,45192,46578,252.3,247.2,249.75,nodular,NA,NA,NA,NA,not reported,NA,NA,190,1132146,39,Olenekian,no,temporal single,-34.14933984,37.60455821,-13.5,48.85,0,1,not reported,NA,1,1,y,1,NA,Edingerella,NA
Edingerella madagascariensis,144080,PaleoDB,R. Butler,251496,46578,46578,252.3,247.2,249.75,nodular,NA,NA,NA,NA,not reported,siliceous-clayed and rich in ferric oxide,NA,190,1132144,39,Olenekian,no,temporal single,-34.12642329,37.72908289,-13.416667,48.916667,0,1,not reported,NA,6,1,y,1,NA,Edingerella,NA
Edops craigi,137131,PaleoDB,M. Carrano,NA,43841,43841,298.9,272.5,285.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091166,32,Artinskian,yes,temporal single,-2.110142183,-29.94591435,33,-98,0,1,not reported,NA,2,2,n,1,NA,Edops,Edopidae
Elfridia bulbidens,92271,PaleoDB,J. Mueller,NA,31089,31089,318.1,314.6,316.35,"intraclastic,shelly/skeletal,gray,yellow",silty,NA,NA,NA,NA,NA,NA,NA,832562,27,Bashkirian,yes,temporal single,-9.204140903,-49.92483308,31.733333,-109.566667,0,1,limestone,low,NA,NA,,NA,NA,Elfridia,Gymnarthridae
Elkobatrachus brocki,135745,Fossilworks,J. Alroy,NA,42424,42424,46.2,40.4,43.3,NA,sandy,NA,NA,NA,limestone,NA,limestone,NA,1081417,71,Lutetian,yes,temporal single,49.03830192,-95.13306754,40.816667,-115.7,0,1,limestone,low,8,5,n,12,based on 5 skeletons,Elkobatrachus,Pelobatidae
Eocyclotosaurus wellesi,34888,Fossilworks,J. Alroy,NA,32381,9311,247.2,242,244.6,"concretionary,nodular,green,red",sandy,NA,NA,NA,NA,NA,NA,NA,855740,40,Anisian,no,temporal single,17.75527846,-34.1685925,34.915,-110.260833,0,1,siltstone,medium 1,2,1,y,1,NA,Eocyclotosaurus,Capitosauroidea
Eocyclotosaurus wellesi,95089,PaleoDB,R. Butler,NA,32381,32381,247.2,242,244.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,855738,40,Anisian,no,temporal single,18.96192737,-34.75716931,35.866667,-111.4,0,1,not reported,NA,2,1,y,1,NA,Eocyclotosaurus,Capitosauroidea
Eocyclotosaurus wellesi,95088,PaleoDB,R. Butler,NA,32381,32381,247.2,242,244.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,855737,40,Anisian,no,temporal single,17.28890997,-33.76584544,34.6,-109.633333,0,1,not reported,NA,4,1,y,1,NA,Eocyclotosaurus,Capitosauroidea
Eocyclotosaurus wellesi,95090,PaleoDB,R. Butler,NA,32381,32390,247.2,242,244.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,855739,40,Anisian,no,temporal single,17.7112185,-34.08365553,34.9,-110.15,0,1,not reported,NA,7,1,y,1,NA,Eocyclotosaurus,Capitosauroidea
Eocyclotosaurus wellesi,95112,PaleoDB,R. Butler,NA,32378,32378,247.2,242,244.6,"green,blue",NA,NA,NA,NA,conglomerate,NA,NA,1,855795,40,Anisian,no,temporal single,18.06857616,-34.58176125,35.080556,-110.840278,0,1,conglomerate,high,NA,1,y,1,publication missing,Eocyclotosaurus,Capitosauroidea
Eodiscoglossus oxoniensis,39075,PaleoDB,M. Carrano,0,10560,10558,167.7,164.7,166.2,NA,NA,NA,NA,NA,marl,NA,marl,NA,405980,51,Bathonian,yes,temporal single,35.9998508,20.06651109,51.86667,-1.26667,0,1,marl,low,160,28,n,96,28 right ilia; premaxillaries and maxiallaires; 30 neural arches; broken scapulae; humerus distal heads; radioulna; 2 ischia; tibiofibulae,Eodiscoglossus,Discoglossidae
Eodiscoglossus santonjae,67985,PaleoDB,M. Carrano,NA,19446,19446,130,125.45,127.725,gray,NA,NA,fine,"""siliciclastic""",marl,NA,marl,NA,632142,59,Barremian,no,longer,27.26812118,22.67838866,40.666667,-0.666667,1,3,marl,low,5,1,n,203,coracoid; radioulna; two tibiofibular fragments; quadrate fragment; pbdb said 33 specimens cannot find this in the paper,Eodiscoglossus,Discoglossidae
Eodiscoglossus santonjae,36365,Fossilworks,J. Alroy,NA,19446,19446,130,125.45,127.725,gray,NA,NA,fine,"""siliciclastic""",NA,NA,NA,NA,1280846,59,Barremian,no,longer,27.26812118,22.67838866,40.666667,-0.666667,1,3,marl,low,5,1,y,1,NA,Eodiscoglossus,Discoglossidae
Eolydekkerina magna,98602,PaleoDB,R. Butler,NA,46526,35271,252.3,251.3,251.8,NA,NA,NA,NA,NA,siltstone,light greenish-grey calcareous siltstone,NA,188,1130472,38,Induan,yes,temporal single,-50.44876943,-11.39747741,-30.5,25.966667,0,1,siltstone,medium 1,1,1,y,1,NA,Eolydekkerina,Lydekkerinidae
Eopelobates anthracinus,34640,PaleoDB,J. Head,NA,9162,9162,28.4,23.03,25.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,365724,75,Chattian,no,temporal single,45.3969586,10.66637346,50,7,0,1,coal,low,NA,NA,,NA,NA,Eopelobates,Pelobatidae
Eopelobates anthracinus,84606,Fossilworks,J. Alroy,NA,4366,28384,28.4,23.03,25.715,"planar lamination,diatomaceous",carbonaceous,NA,NA,NA,NA,NA,NA,NA,785706,75,Chattian,no,temporal single,46.13631768,10.9696988,50.75,7.266667,0,1,shale,low,NA,NA,,NA,NA,Eopelobates,Pelobatidae
Eopelobates bayeri,58983,PaleoDB,M. Uhen,NA,23644,23390,13.65,11.608,12.629,"micaceous,quartzose",NA,calcareous,NA,sandstone,NA,NA,NA,NA,652737,77,Middle Miocene,no,longer,44.54748253,20.17827439,48.2014,17.97767,21,4,sandstone,medium 1,NA,NA,,NA,NA,Eopelobates,Pelobatidae
Eopelobates grandis,13097,PaleoDB,E. Fara,NA,4366,4366,37.2,33.9,35.55,NA,NA,NA,NA,NA,sandstone,cross-stratification,NA,232,148357,73,Priabonian,yes,temporal single,49.28460442,-85.19973864,43.745556,-102.668333,0,1,sandstone,medium 2,1,1,n,146,complete skeleton,Eopelobates,Pelobatidae
Eopelobates hinschei,13322,PaleoDB,J. Hunter,NA,11714,11714,48.6,40.4,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,456627,71,Lutetian,yes,temporal single,43.36445349,17.04673791,51.321944,11.953611,0,1,lignite,low,NA,NA,,NA,NA,Eopelobates,Pelobatidae
Eorhinophrynus septentrionalis,16244,Fossilworks,J. Alroy,NA,2523,2523,48.6,48.5,48.55,NA,NA,NA,NA,NA,sandstone,NA,sandstone,123,521289,70,Ypresian,yes,temporal single,50.69738768,-83.74222683,42.7,-110.1,0,1,sandstone,medium 1,1,1,n,97,1 atlas,Eorhinophrynus,Rhinophrynidae
Eorubeta nevadensis,84710,Fossilworks,J. Alroy,NA,28414,28414,55.8,48.6,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,785826,70,Ypresian,yes,temporal single,47.7762584,-90.83227776,38.716667,-115.05,0,1,not reported,NA,NA,NA,,NA,NA,Eorubeta,Leptodactylidae
Eoscapherpeton asiaticum,46959,ETE,M. Carrano,161672,16510,38131,94.3,89.3,91.8,NA,NA,NA,NA,NA,sandstone,"current signs, channel fill",sandstone,180,559658,63,Turonian,no,temporal single,35.92976291,70.46982967,42.117293,62.655315,0,1,sandstone,medium 2,1,1,y,1,NA,Eoscapherpeton,Cryptobranchidae
Eoscapherpeton superum,58701,ETE,M. Carrano,NA,39261,16510,85.8,84.9,85.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009295,65,Santonian,yes,temporal single,33.28348923,74.01257056,40.4928,69.7025,0,1,not reported,NA,NA,NA,,NA,NA,Eoscapherpeton,Cryptobranchidae
Eoxenopoides reuningi,92114,Fossilworks,J. Alroy,NA,15044,15044,70.6,58.7,64.65,NA,carbonaceous,NA,NA,NA,NA,NA,NA,NA,832125,68,Danian,yes,temporal single,-45.82460549,9.063050656,-30.366667,18.433333,0,1,mudstone,low,NA,NA,,NA,NA,Eoxenopoides,NA
Eryops megacephalus,85301,PaleoDB,J. Mueller,NA,28758,28758,290.1,272.5,281.3,"gray,blue",NA,NA,brown,conglomerate,NA,NA,NA,NA,789067,33,Kungurian,no,longer,0.444251623,-29.56809161,33.784167,-99.138889,6,2,mudstone,low,1,1,y,1,NA,Eryops,Eryopidae
Eryops megacephalus,87054,PaleoDB,J. Mueller,NA,14253,14253,290.1,268,279.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,799808,33,Kungurian,no,longer,2.427340486,-27.07380783,36.766667,-97.766667,6,2,not reported,NA,1,1,y,1,NA,Eryops,Eryopidae
Eryops megacephalus,79815,PaleoDB,J. Mueller,NA,28557,28557,290.1,268,279.05,"""cross stratification"",coarse,red or brown",NA,NA,"planar lamination,gray,yellow",sandstone,NA,NA,NA,NA,787580,33,Kungurian,no,longer,2.261464656,-26.84687053,36.738611,-97.417778,6,2,sandstone,medium 2,9,5,n,228,parts of skull with shoulder girdle; partial skull; 3 skull fragments; 2 mandible fragments; partial jaw; jaw; skeleton with skul,Eryops,Eryopidae
Eryops megacephalus,79402,PaleoDB,J. Mueller,NA,28557,28557,290.1,279.5,284.8,gray,NA,sandy,concretionary,ironstone,NA,NA,NA,NA,787459,32,Artinskian,no,longer,0.310326878,-27.84025055,36.161667,-97.340556,6,2,claystone,low,NA,NA,,NA,NA,Eryops,Eryopidae
Eryops megacephalus,79162,PaleoDB,J. Mueller,NA,5743,43845,296.4,268,282.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,789965,33,Kungurian,no,longer,0.061937284,-29.32382698,33.583333,-98.65,6,2,not reported,NA,NA,NA,,NA,NA,Eryops,Eryopidae
Eryops willistoni,79815,PaleoDB,J. Mueller,NA,28557,28557,290.1,268,279.05,"""cross stratification"",coarse,red or brown",NA,NA,"planar lamination,gray,yellow",sandstone,NA,NA,NA,NA,787562,33,Kungurian,yes,temporal single,2.261464656,-26.84687053,36.738611,-97.417778,0,1,sandstone,medium 2,1,1,y,1,NA,Eryops,Eryopidae
Eryosuchus antiquus,97410,PaleoDB,R. Butler,NA,28828,34263,247.2,242,244.6,"""cross stratification"",medium,gray,green,red",NA,NA,NA,NA,NA,NA,NA,NA,877608,40,Anisian,yes,temporal single,40.96813891,60.4453455,51.3625,55.491111,0,1,sandstone,medium 2,1,1,y,1,NA,Eryosuchus,Capitosauridae
Eryosuchus rajareddyi,136647,PaleoDB,R. Butler,251493,43701,43701,247.2,242,244.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087838,40,Anisian,no,temporal single,-42.70948735,39.34927418,18.85,79.666667,0,1,not reported,NA,1,1,y,1,NA,Eryosuchus,Capitosauridae
Eryosuchus rajareddyi,116354,PaleoDB,M. Carrano,251494,43705,37497,247.2,242,244.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087840,40,Anisian,no,temporal single,-42.40791096,39.78006776,19.236808,79.44982,0,1,not reported,NA,3,1,y,1,NA,Eryosuchus,Capitosauridae
Eryosuchus tverdochlebovi,28850,Fossilworks,J. Alroy,169905,28828,7854,247.2,242,244.6,"ferruginous,black,gray,green",NA,NA,lenticular,conglomerate,NA,NA,NA,NA,877596,40,Anisian,no,temporal single,40.90584658,60.31863358,51.358333,55.308333,0,1,sandstone,medium 1,5,1,n,37,1 skull and 4 unidentified specimens,Eryosuchus,Capitosauroidea
Eryosuchus tverdochlebovi,28850,Fossilworks,J. Alroy,36960,28553,7854,247.2,242,244.6,"ferruginous,black,gray,green",NA,NA,lenticular,conglomerate,NA,NA,NA,NA,299698,40,Anisian,no,temporal single,40.90584658,60.31863358,51.358333,55.308333,0,1,sandstone,medium 1,7,1,y,1,reference missing,Eryosuchus,Capitosauroidea
Eryosuchus tverdochlebovi,97409,PaleoDB,R. Butler,169905,28828,28844,247.2,242,244.6,"""cross stratification"",fine,yellow",NA,NA,NA,NA,NA,NA,NA,NA,877600,40,Anisian,no,temporal single,41.08709444,60.22525487,51.55,55.361111,0,1,sandstone,medium 2,10,10,n,12,10 skulls,Eryosuchus,Capitosauroidea
Estesiella boliviensis,13501,Fossilworks,J. Alroy,37457,49783,6116,66.043,61.7,63.8715,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098469,68,Danian,yes,temporal single,-19.85875451,-48.35108404,-18.033333,-65.583333,0,1,not reported,NA,NA,NA,,NA,NA,Estesiella,NA
Estesina elegans,58168,ETE,M. Carrano,NA,18862,38131,94.3,89.3,91.8,"""cross stratification""",NA,NA,NA,conglomerate,NA,NA,NA,NA,985910,63,Turonian,no,longer,35.92976291,70.46982967,42.117293,62.655315,4,2,sandstone,medium 2,1,1,y,1,NA,Estesina,Discoglossidae
Estesina elegans,118246,PaleoDB,R. Benson,NA,18862,38131,89.3,85.8,87.55,NA,NA,NA,NA,NA,sandstone,NA,sandstone,180,985909,64,Coniacian,no,longer,36.23407264,71.10928079,42.117293,62.655315,4,2,sandstone,medium 1,2,1,y,1,NA,Estesina,Discoglossidae
