order,family,genus,species,iucn,SVL,SVLreliability,habitatNumber,food,pet,medicine,research,religion,other
Anura,Dendrobatidae,Andinobates,cassidyhornae,99999,19,99999,99999,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Blommersia,angolafa,99999,19,1,99999,99999,99999,99999,99999,99999,99999
Anura,Megophryidae,Leptobrachella,serasanae,VU,19,1,2,99999,99999,99999,99999,99999,99999
Anura,Pyxicephalidae,Arthroleptella,lightfooti,NT,19,0,3,99999,99999,99999,99999,99999,99999
Anura,Pyxicephalidae,Cacosternum,boettgeri,LC,19,0,16,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Atopophrynus,syntomopus,CR,19,99999,2,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,xenodactyloides,LC,19.09,1,6,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Boophis,lilianae,DD,19.2,1,2,99999,99999,99999,99999,99999,99999
Anura,Myobatrachidae,Crinia,flindersensis,99999,19.2,1,99999,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,nimbaensis,DD,19.26,99999,3,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,delicatus,LC,19.275,1,12,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,nlonakoensis,DD,19.3,1,2,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Centrolene,solitaria,DD,19.3,0,2,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Rhombophryne,minuta,DD,19.3,1,2,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Philautus,cardamonus,DD,19.3,1,1,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,pyrrhoscelis,NT,19.32,99999,1,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,schubotzi,LC,19.35,99999,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,cornutus,LC,19.35,0,5,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nectophrynoides,paulae,CR,19.4,1,1,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Cochranella,litoralis,DD,19.4,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,imitator,LC,19.5,1,1,99999,1,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,stuhlmanni,LC,19.5,1,13,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Kassinula,wittei,LC,19.5,1,3,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Blommersia,blommersae,LC,19.5,0,4,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Anodonthyla,boulengerii,LC,19.5,1,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,rouxi,DD,19.5,1,99999,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nectophrynoides,wendyae,CR,19.6,1,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Allobates,flaviventris,99999,19.6,1,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,stewartae,DD,19.6,1,8,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Mantella,bernhardi,EN,19.65,1,4,99999,1,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,melanops,99999,19.7,1,99999,99999,99999,99999,99999,99999,99999
Anura,Leptodactylidae,Adenomera,andreae,LC,19.775,1,4,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,rungwensis,LC,19.79,1,11,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Centrolene,sanchezi,DD,19.8,0,2,99999,99999,99999,99999,99999,99999
Anura,Ceuthomantidae,Ceuthomantis,smaragdinus,99999,19.8,0,99999,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Hyloxalus,craspedoceps,99999,19.8,1,99999,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Nymphargus,laurae,CR,19.9,0,2,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Rulyrana,orejuela,DD,19.9,1,3,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,crusculum,EN,20,0,4,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Didynamipus,sjostedti,EN,20,0,3,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Vitreorana,eurygnatha,LC,20,1,3,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Hyalinobatrachium,iaspidiense,DD,20,0,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Oophaga,granulifera,VU,20,1,2,99999,1,99999,99999,99999,99999
Anura,Dendrobatidae,Oophaga,pumilio,LC,20,1,2,99999,1,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,fantastica,LC,20,1,1,99999,1,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,cochranae,LC,20,1,6,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,cystignathoides,LC,20,1,9,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,locustus,CR,20,99999,3,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Boophis,liami,DD,20,0,3,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Blommersia,grandisonae,LC,20,1,4,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Austrochaperina,novaebritanniae,VU,20,1,2,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophyla,occultans,DD,20,0,4,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,roseifemoralis,DD,20,1,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,chukuchuku,99999,20,0,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,ogoensis,DD,20,1,22,99999,99999,99999,99999,99999,99999
Anura,Myobatrachidae,Uperoleia,micra,99999,20.125,1,99999,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Teratohyla,spinosa,LC,20.2,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,benedicta,99999,20.2,99999,99999,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,septentrionalis,LC,20.25,1,3,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Atelopus,erythropus,CR,20.4,99999,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,summersi,99999,20.4,99999,99999,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,wightmanae,EN,20.4,1,2,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,pipilans,LC,20.4,1,1,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nectophrynoides,minutus,EN,20.5,1,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Adelphobates,castaneoticus,LC,20.5,1,2,99999,1,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,weidholzi,LC,20.5,1,7,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,bopeleti,NT,20.5,0,3,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,concinnus,CR,20.5,99999,2,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Stumpffia,grandis,DD,20.5,1,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,maculiventris,99999,20.5,1,99999,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Oreophrynella,seegobini,99999,20.6,0,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,danko,99999,20.7,0,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,uzungwensis,VU,20.7,1,2,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,keniensis,LC,20.725,1,4,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,kuligae,LC,20.775,1,10,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Atelopus,tricolor,VU,20.8,99999,2,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Vitreorana,oyampiensis,LC,20.8,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ameerega,parvula,LC,20.8,1,2,99999,1,99999,99999,99999,99999
Anura,Mantellidae,Gephyromantis,enki,DD,20.8,1,3,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Guibemantis,annulatus,99999,20.8,1,99999,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Metaphrynella,sundana,LC,20.8,1,1,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Pristimantis,ockendeni,LC,20.8,1,3,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nimbaphrynoides,occidentalis,CR,20.825,1,1,99999,99999,99999,99999,99999,99999
Anura,Hylidae,Dendropsophus,werneri,LC,20.875,1,6,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Vitreorana,gorzulae,DD,20.9,1,3,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,planirostris,LC,20.9,1,13,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Colostethus,argyrogaster,LC,20.975,1,4,99999,99999,99999,99999,99999,99999
Anura,Cycloramphidae,Thoropa,petropolitana,VU,21,99999,3,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Oophaga,arborea,EN,21,1,3,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,eunaster,CR,21,99999,2,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,principalis,EN,21,1,2,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,simulans,EN,21,1,2,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,kihangensis,EN,21,1,2,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,quinquevittatus,LC,21,0,5,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,vilhenai,DD,21,0,6,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Boophis,solomaso,DD,21,0,2,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Mantella,betsileo,LC,21,1,10,99999,1,99999,99999,99999,99999
Anura,Megophryidae,Leptolalax,applebyi,99999,21,1,99999,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Austrochaperina,kosarek,DD,21,0,1,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,mcdonaldi,EN,21,99999,1,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Platypelis,barbouri,LC,21,0,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,parkeri,LC,21,1,9,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,werneri,LC,21,1,8,99999,99999,99999,99999,99999,99999
Anura,Pyxicephalidae,Cacosternum,striatum,DD,21,0,5,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,sylvaticus,EN,21.15,1,5,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,nienokouensis,EN,21.25,1,3,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Centrolene,hybrida,LC,21.275,1,2,99999,99999,99999,99999,99999,99999
Anura,Leptodactylidae,Paratelmatobius,lutzii,DD,21.275,1,3,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Atelopus,minutulus,CR,21.3,99999,2,99999,99999,99999,99999,99999,99999
Anura,Hylidae,Dendropsophus,brevifrons,LC,21.3,1,6,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,raymondi,99999,21.3,1,99999,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Bryophryne,hanssaueri,99999,21.3,1,99999,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Raorchestes,griet,CR,21.4,1,3,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Centrolene,guanacarum,DD,21.5,0,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ameerega,altamazonica,99999,21.5,1,99999,99999,99999,99999,99999,99999,99999
Anura,Hemiphractidae,Flectonotus,fitzgeraldi,EN,21.5,1,2,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,aureus,LC,21.5,1,8,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Afrixalus,spinifrons,NT,21.5,1,5,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,ademetzi,NT,21.5,1,7,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,benguellensis,LC,21.5,1,10,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,nasutus,LC,21.5,1,15,99999,99999,99999,99999,99999,99999
